timeStamp_s,u_raw_V,u_prbs_V,u_noisy_V,voltage_V,theta_rad,alpha_rad,theta_dot_rad_s,alpha_dot_rad_s
40.58892059326172,-0.07031167137461476,0.5,0.42968832862538525,0.42968832862538525,0.021475731030398976,0.015339807878856493,-0.4144028041663077,-0.4171212596538075
40.58999156951904,-0.03854220694917271,0.5,0.4614577930508273,0.4614577930508273,0.015339807878856412,0.012271846303084888,-0.5950209877534643,-0.49570968185401293
40.599350452423096,-0.24062480878377102,0.5,0.259375191216229,0.259375191216229,0.01227184630308513,0.009203884727314171,-0.5991479493980847,-0.5428627351740651
40.599507570266724,-0.39273186614898165,0.5,0.10726813385101835,0.10726813385101835,0.009203884727313847,0.006135923151543455,-0.6023578084550117,-0.5711545671660965
40.604488134384155,-0.5151314177766815,0.5,-0.015131417776681477,-0.015131417776681477,0.006135923151542565,0.00306796157577185,-0.6048543654992883,-0.5881296663613863
40.60946345329285,-0.6199225489180287,0.5,-0.11992254891802867,-0.11992254891802867,0.0030679615757712823,2.4492935982947064e-16,-0.6067961320892812,-0.5983147258785602
40.61448311805725,-0.46296156608243105,0.5,0.03703843391756895,0.03703843391756895,-0.0030679615757712823,-0.00306796157577136,-0.744660242804666,-0.6044257615888645
40.61949443817139,0.16705290559891559,0.5,0.6670529055989156,0.6670529055989156,-0.006135923151542565,-0.00306796157577136,-0.7155340366601306,-0.36265545695331874
40.645124435424805,-0.2260922385716886,0.5,0.2739077614283114,0.2739077614283114,-0.009203884727313847,-0.0061359231515429645,-0.6928803207699362,-0.4630302002337196
40.64518332481384,-0.5009495812528384,0.5,-0.000949581252838394,-0.000949581252838394,-0.01227184630308513,-0.009203884727313682,-0.6752607639664517,-0.5232550462018892
40.64522171020508,-0.7033092284478589,0.5,-0.20330922844785893,-0.20330922844785893,-0.015339807878856412,-0.012271846303084399,-0.6615566642304083,-0.5593899537827909
40.64526414871216,-0.8609841358904619,0.5,-0.36098413589046185,-0.36098413589046185,-0.018407769454627694,-0.015339807878856004,-0.6508979199912633,-0.5810708983314029
40.645299196243286,-0.2209918635108457,0.5,0.2790081364891543,0.2790081364891543,-0.021475731030398976,-0.015339807878856004,-0.6426077855830395,-0.34864253899884173
40.651033878326416,-0.601838386597834,0.5,-0.10183838659783395,-0.10183838659783395,-0.02454369260617026,-0.018407769454627607,-0.6361599032655323,-0.4546224494610333
40.65620279312134,-0.8644072694454191,0.5,-0.3644072694454191,-0.3644072694454191,-0.02761165418194154,-0.021475731030399216,-0.6311448836852486,-0.5182103957383486
40.661393880844116,-1.0555755062639407,0.5,-0.5555755062639407,-0.5555755062639407,-0.030679615757712823,-0.02454369260616993,-0.6272443129005836,-0.5563631635046665
40.664485692977905,-0.433631955498277,0.5,0.06636804450172301,0.06636804450172301,-0.0337475773334841,-0.02454369260616993,-0.6242105356236218,-0.33381789810279994
40.66948699951172,-0.8237153857664503,0.5,-0.3237153857664503,-0.3237153857664503,-0.03681553890925539,-0.02761165418194065,-0.6218509310748741,-0.4457276649233373
40.69459795951843,-0.32065414103217704,0.5,0.17934585896782296,0.17934585896782296,-0.039883500485026674,-0.02761165418194065,-0.6200156830925146,-0.2674365989540024
40.694664478302,-0.7817038804450973,0.5,-0.2817038804450973,-0.2817038804450973,-0.04295146206079795,-0.030679615757712254,-0.6185882679951237,-0.4058988854341299
40.69470286369324,-1.0908738262183586,0.5,-0.5908738262183586,-0.5908738262183586,-0.04601942363656923,-0.03374757733348386,-0.6174780562527088,-0.4889762573222063
40.69473886489868,-0.7902411342662128,0.5,-0.2902411342662128,-0.2902411342662128,-0.04601942363656923,-0.03374757733348386,-0.4802607104187735,-0.29338575439332376
40.69477367401123,-1.1700078971314973,0.5,-0.6700078971314973,-0.6700078971314973,-0.04908738521234052,-0.036815538909255464,-0.5098899559155475,-0.4214683786977227
40.70042061805725,-0.6510661629814892,-0.5,-1.1510661629814893,-1.1510661629814893,-0.0521553467881118,-0.036815538909255464,-0.5329349246352607,-0.25288102721863365
40.70589828491211,-1.3464056879721045,-0.5,-1.8464056879721045,-1.8464056879721045,-0.0521553467881118,-0.03988350048502707,-0.4145049413829805,-0.3971655423929086
40.711183309555054,-1.0692629546070107,-0.5,-1.5692629546070107,-1.5692629546070107,-0.0521553467881118,-0.03988350048502707,-0.3223927321867626,-0.23829932543574517
40.71450924873352,-0.16094737688176564,-0.5,-0.6609473768817656,-0.6609473768817656,-0.0521553467881118,-0.036815538909255464,-0.2507499028119265,0.1024573308002813
40.7276508808136,0.15069480076068928,-0.5,-0.3493051992393107,-0.3493051992393107,-0.04908738521234052,-0.03374757733348386,-0.05867385437499682,0.30691132454189723
40.727691650390625,0.31160156025167507,-0.5,-0.18839843974832493,-0.18839843974832493,-0.04601942363656923,-0.030679615757712254,0.09071862774261515,0.4295837207868667
40.73058032989502,0.1436422176686945,-0.5,-0.3563577823313055,-0.3563577823313055,-0.039883500485026674,-0.02761165418194065,0.3432666283128145,0.5031871585338484
40.7344856262207,1.0121547496625132,-0.5,0.5121547496625132,0.5121547496625132,-0.03681553890925539,-0.021475731030399216,0.40333900316646837,0.7927861472436238
40.74014472961426,0.5655940704561296,-0.5,0.06559407045612964,0.06559407045612964,-0.030679615757712823,-0.018407769454627607,0.5864158091980338,0.7211086144079029
40.75019574165344,1.287990941008589,-0.5,0.787990941008589,0.787990941008589,-0.02761165418194154,-0.012271846303084399,0.592455032743861,0.9235390207681985
40.75027346611023,1.0214844337796796,0.5,1.5214844337796796,1.5214844337796796,-0.02454369260617026,-0.009203884727313682,0.5971522066128376,0.7995603385225765
40.754618644714355,0.12233149313847988,0.5,0.6223314931384799,0.6223314931384799,-0.021475731030398976,-0.009203884727313682,0.6008055640664863,0.47973620311354587
40.76479768753052,0.595418659673691,0.5,1.095418659673691,1.095418659673691,-0.021475731030398976,-0.0061359231515429645,0.467293216496156,0.533278647929785
40.76484537124634,-0.5804403341454935,0.5,-0.08044033414549345,-0.08044033414549345,-0.021475731030398976,-0.009203884727313682,0.36345027949701025,0.07453026269621353
40.77483081817627,-0.5242754054362536,0.5,-0.024275405436253616,-0.024275405436253616,-0.021475731030398976,-0.009203884727313682,0.28268355071989687,0.04471815761772812
40.774877309799194,-1.2360433101183033,0.5,-0.7360433101183033,-0.7360433101183033,-0.021475731030398976,-0.012271846303084399,0.21986498389325312,-0.2186060314910205
